        1281         600
           1   0.0000000000000000       0.50000000000000000     
           2   0.0000000000000000       0.52500000000000002     
           3   0.0000000000000000       0.55000000000000004     
           4   0.0000000000000000       0.57499999999999996     
           5   0.0000000000000000       0.59999999999999998     
           6   0.0000000000000000       0.62500000000000000     
           7   0.0000000000000000       0.65000000000000002     
           8   0.0000000000000000       0.67500000000000004     
           9   0.0000000000000000       0.69999999999999996     
          10   0.0000000000000000       0.72499999999999998     
          11   0.0000000000000000       0.75000000000000000     
          12   0.0000000000000000       0.77500000000000002     
          13   0.0000000000000000       0.80000000000000004     
          14   0.0000000000000000       0.82499999999999996     
          15   0.0000000000000000       0.85000000000000009     
          16   0.0000000000000000       0.87500000000000000     
          17   0.0000000000000000       0.90000000000000002     
          18   0.0000000000000000       0.92500000000000004     
          19   0.0000000000000000       0.94999999999999996     
          20   0.0000000000000000       0.97500000000000009     
          21   0.0000000000000000        1.0000000000000000     
          22  2.50000000000000014E-002  0.50000000000000000     
          23  2.50000000000000014E-002  0.52500000000000002     
          24  2.50000000000000014E-002  0.55000000000000004     
          25  2.50000000000000014E-002  0.57499999999999996     
          26  2.50000000000000014E-002  0.59999999999999998     
          27  2.50000000000000014E-002  0.62500000000000000     
          28  2.50000000000000014E-002  0.65000000000000002     
          29  2.50000000000000014E-002  0.67500000000000004     
          30  2.50000000000000014E-002  0.69999999999999996     
          31  2.50000000000000014E-002  0.72499999999999998     
          32  2.50000000000000014E-002  0.75000000000000000     
          33  2.50000000000000014E-002  0.77500000000000002     
          34  2.50000000000000014E-002  0.80000000000000004     
          35  2.50000000000000014E-002  0.82499999999999996     
          36  2.50000000000000014E-002  0.85000000000000009     
          37  2.50000000000000014E-002  0.87500000000000000     
          38  2.50000000000000014E-002  0.90000000000000002     
          39  2.50000000000000014E-002  0.92500000000000004     
          40  2.50000000000000014E-002  0.94999999999999996     
          41  2.50000000000000014E-002  0.97500000000000009     
          42  2.50000000000000014E-002   1.0000000000000000     
          43  5.00000000000000028E-002  0.50000000000000000     
          44  5.00000000000000028E-002  0.52500000000000002     
          45  5.00000000000000028E-002  0.55000000000000004     
          46  5.00000000000000028E-002  0.57499999999999996     
          47  5.00000000000000028E-002  0.59999999999999998     
          48  5.00000000000000028E-002  0.62500000000000000     
          49  5.00000000000000028E-002  0.65000000000000002     
          50  5.00000000000000028E-002  0.67500000000000004     
          51  5.00000000000000028E-002  0.69999999999999996     
          52  5.00000000000000028E-002  0.72499999999999998     
          53  5.00000000000000028E-002  0.75000000000000000     
          54  5.00000000000000028E-002  0.77500000000000002     
          55  5.00000000000000028E-002  0.80000000000000004     
          56  5.00000000000000028E-002  0.82499999999999996     
          57  5.00000000000000028E-002  0.85000000000000009     
          58  5.00000000000000028E-002  0.87500000000000000     
          59  5.00000000000000028E-002  0.90000000000000002     
          60  5.00000000000000028E-002  0.92500000000000004     
          61  5.00000000000000028E-002  0.94999999999999996     
          62  5.00000000000000028E-002  0.97500000000000009     
          63  5.00000000000000028E-002   1.0000000000000000     
          64  7.50000000000000111E-002  0.50000000000000000     
          65  7.50000000000000111E-002  0.52500000000000002     
          66  7.50000000000000111E-002  0.55000000000000004     
          67  7.50000000000000111E-002  0.57499999999999996     
          68  7.50000000000000111E-002  0.59999999999999998     
          69  7.50000000000000111E-002  0.62500000000000000     
          70  7.50000000000000111E-002  0.65000000000000002     
          71  7.50000000000000111E-002  0.67500000000000004     
          72  7.50000000000000111E-002  0.69999999999999996     
          73  7.50000000000000111E-002  0.72499999999999998     
          74  7.50000000000000111E-002  0.75000000000000000     
          75  7.50000000000000111E-002  0.77500000000000002     
          76  7.50000000000000111E-002  0.80000000000000004     
          77  7.50000000000000111E-002  0.82499999999999996     
          78  7.50000000000000111E-002  0.85000000000000009     
          79  7.50000000000000111E-002  0.87500000000000000     
          80  7.50000000000000111E-002  0.90000000000000002     
          81  7.50000000000000111E-002  0.92500000000000004     
          82  7.50000000000000111E-002  0.94999999999999996     
          83  7.50000000000000111E-002  0.97500000000000009     
          84  7.50000000000000111E-002   1.0000000000000000     
          85  0.10000000000000001       0.50000000000000000     
          86  0.10000000000000001       0.52500000000000002     
          87  0.10000000000000001       0.55000000000000004     
