# gnuplot data generated by MooNMD
#          x           y           p         psi         u-1         u-2         |u|
#
  0.00000000  0.00000000  0.81986596  0.00000000  1.00000000  0.00000000  1.00000000
  0.62500000  0.00000000  0.33365026 -0.00058124  0.20705687 -0.00344539  0.20708554
  0.62500000  0.25000000  0.24055369  0.16729380  1.10038254  0.07804114  1.10314648
  0.00000000  0.25000000  0.72676938  0.24999999  1.00000000  0.00000000  1.00000000
  0.00000000  0.00000000  0.81986596  0.00000000  1.00000000  0.00000000  1.00000000


  1.25000000  0.00000000  0.30407214  0.00000382  0.08004755 -0.00072465  0.08005083
  1.25000000  0.25000000  0.33278973  0.11770962  0.83251277  0.05000113  0.83401297
  0.62500000  0.25000000  0.37933045  0.16729380  1.10038254  0.07804114  1.10314648
  0.62500000  0.00000000  0.35061286 -0.00058124  0.20705687 -0.00344539  0.20708554
  1.25000000  0.00000000  0.30407214  0.00000382  0.08004755 -0.00072465  0.08005083


  1.25000000  0.50000000  0.33806182  0.37401218  1.12930035  0.11494250  1.13513481
  0.62500000  0.50000000  0.38150577  0.45219166  1.09781202  0.11293914  1.10360613
  0.62500000  0.25000000  0.36828826  0.16729380  1.10038254  0.07804114  1.10314648
  1.25000000  0.25000000  0.32484431  0.11770962  0.83251277  0.05000113  0.83401297
  1.25000000  0.50000000  0.33806182  0.37401218  1.12930035  0.11494250  1.13513481


  0.00000000  0.50000000  0.48971512  0.49999998  1.00000000  0.00000000  1.00000000
  0.00000000  0.25000000  0.53908799  0.24999999  1.00000000  0.00000000  1.00000000
  0.62500000  0.25000000  0.41769297  0.16729380  1.10038254  0.07804114  1.10314648
  0.62500000  0.50000000  0.36832010  0.45219166  1.09781202  0.11293914  1.10360613
  0.00000000  0.50000000  0.48971512  0.49999998  1.00000000  0.00000000  1.00000000


  2.50000000  0.00000000  0.34152289  0.00053073  0.03478731 -0.00019363  0.03478785
  2.50000000  0.25000000  0.34591206  0.06595954  0.49438856  0.03365522  0.49553277
  1.87500000  0.25000000  0.33222645  0.08875451  0.64639432  0.03999925  0.64763073
  1.87500000  0.00000000  0.32783728  0.00030900  0.05090649 -0.00028787  0.05090730
  2.50000000  0.00000000  0.34152289  0.00053073  0.03478731 -0.00019363  0.03478785


  2.50000000  0.50000000  0.34380943  0.24216059  0.88543397  0.09752549  0.89078871
  1.87500000  0.50000000  0.33085969  0.30521017  1.02835445  0.10345547  1.03354531
  1.87500000  0.25000000  0.33283495  0.08875451  0.64639432  0.03999925  0.64763073
  2.50000000  0.25000000  0.34578469  0.06595954  0.49438856  0.03365522  0.49553277
  2.50000000  0.50000000  0.34380943  0.24216059  0.88543397  0.09752549  0.89078871


  1.25000000  0.50000000  0.33387739  0.37401218  1.12930035  0.11494250  1.13513481
  1.25000000  0.25000000  0.33438091  0.11770962  0.83251277  0.05000113  0.83401297
  1.87500000  0.25000000  0.33257791  0.08875451  0.64639432  0.03999925  0.64763073
  1.87500000  0.50000000  0.33207439  0.30521017  1.02835445  0.10345547  1.03354531
  1.25000000  0.50000000  0.33387739  0.37401218  1.12930035  0.11494250  1.13513481


  1.25000000  0.00000000  0.33343164  0.00000382  0.08004755 -0.00072465  0.08005083
  1.87500000  0.00000000  0.32765001  0.00030900  0.05090649 -0.00028787  0.05090730
  1.87500000  0.25000000  0.33080846  0.08875451  0.64639432  0.03999925  0.64763073
  1.25000000  0.25000000  0.33659009  0.11770962  0.83251277  0.05000113  0.83401297
  1.25000000  0.00000000  0.33343164  0.00000382  0.08004755 -0.00072465  0.08005083


  2.50000000  1.00000000  0.31759551  0.76094505  1.08100660  0.10398578  1.08599646
  1.87500000  1.00000000  0.31202329  0.84951648  1.07433968  0.09445762  1.07848411
  1.87500000  0.75000000  0.32437851  0.57630721  1.10507791  0.12131877  1.11171734
  2.50000000  0.75000000  0.32995073  0.49029288  1.06233275  0.13388768  1.07073656
  2.50000000  1.00000000  0.31759551  0.76094505  1.08100660  0.10398578  1.08599646


  1.25000000  1.00000000  0.32329019  0.92120084  1.05360451  0.07907504  1.05656771
  1.25000000  0.75000000  0.33125612  0.65339247  1.09251976  0.10713853  1.09776049
  1.87500000  0.75000000  0.32213200  0.57630721  1.10507791  0.12131877  1.11171734
  1.87500000  1.00000000  0.31416607  0.84951648  1.07433968  0.09445762  1.07848411
  1.25000000  1.00000000  0.32329019  0.92120084  1.05360451  0.07907504  1.05656771


  1.25000000  0.50000000  0.33532109  0.37401218  1.12930035  0.11494250  1.13513481
  1.87500000  0.50000000  0.32903632  0.30521017  1.02835445  0.10345547  1.03354531
  1.87500000  0.75000000  0.32427613  0.57630721  1.10507791  0.12131877  1.11171734
  1.25000000  0.75000000  0.33056091  0.65339247  1.09251976  0.10713853  1.09776049
  1.25000000  0.50000000  0.33532109  0.37401218  1.12930035  0.11494250  1.13513481


  2.50000000  0.50000000  0.34208133  0.24216059  0.88543397  0.09752549  0.89078871
  2.50000000  0.75000000  0.33274284  0.49029288  1.06233275  0.13388768  1.07073656
  1.87500000  0.75000000  0.32265930  0.57630721  1.10507791  0.12131877  1.11171734
  1.87500000  0.50000000  0.33199779  0.30521017  1.02835445  0.10345547  1.03354531
  2.50000000  0.50000000  0.34208133  0.24216059  0.88543397  0.09752549  0.89078871


  0.00000000  1.00000000  0.37362528  0.99999995  1.00000000  0.00000000  1.00000000
  0.00000000  0.75000000  0.40079895  0.74999998  1.00000000  0.00000000  1.00000000
  0.62500000  0.75000000  0.37887671  0.71829738  1.03836518  0.07905779  1.04137043
  0.62500000  1.00000000  0.35170304  0.97538075  1.02004026  0.05457078  1.02149895
  0.00000000  1.00000000  0.37362528  0.99999995  1.00000000  0.00000000  1.00000000


  0.00000000  0.50000000  0.45212070  0.49999998  1.00000000  0.00000000  1.00000000
  0.62500000  0.50000000  0.40304960  0.45219166  1.09781202  0.11293914  1.10360613
  0.62500000  0.75000000  0.36558911  0.71829738  1.03836518  0.07905779  1.04137043
  0.00000000  0.75000000  0.41466021  0.74999998  1.00000000  0.00000000  1.00000000
  0.00000000  0.50000000  0.45212070  0.49999998  1.00000000  0.00000000  1.00000000


  1.25000000  0.50000000  0.33498709  0.37401218  1.12930035  0.11494250  1.13513481
  1.25000000  0.75000000  0.33013216  0.65339247  1.09251976  0.10713853  1.09776049
  0.62500000  0.75000000  0.37131528  0.71829738  1.03836518  0.07905779  1.04137043
  0.62500000  0.50000000  0.37617021  0.45219166  1.09781202  0.11293914  1.10360613
  1.25000000  0.50000000  0.33498709  0.37401218  1.12930035  0.11494250  1.13513481


  1.25000000  1.00000000  0.32280929  0.92120084  1.05360451  0.07907504  1.05656771
  0.62500000  1.00000000  0.35391240  0.97538075  1.02004026  0.05457078  1.02149895
  0.62500000  0.75000000  0.36484956  0.71829738  1.03836518  0.07905779  1.04137043
  1.25000000  0.75000000  0.33374646  0.65339247  1.09251976  0.10713853  1.09776049
  1.25000000  1.00000000  0.32280929  0.92120084  1.05360451  0.07907504  1.05656771


  0.00000000  1.00000000  0.36929103  0.99999995  1.00000000  0.00000000  1.00000000
  0.62500000  1.00000000  0.35504822  0.97538075  1.02004026  0.05457078  1.02149895
  0.62500000  1.50000000  0.31679689  1.48265543  1.01127649  0.04326876  1.01220172
  0.00000000  1.50000000  0.33103970  1.49999994  1.00000000  0.00000000  1.00000000
  0.00000000  1.00000000  0.36929103  0.99999995  1.00000000  0.00000000  1.00000000


  1.25000000  1.00000000  0.32800501  0.92120084  1.05360451  0.07907504  1.05656771
  1.25000000  1.50000000  0.29894548  1.43973416  1.02746600  0.07560951  1.03024423
  0.62500000  1.50000000  0.31958601  1.48265543  1.01127649  0.04326876  1.01220172
  0.62500000  1.00000000  0.34864555  0.97538075  1.02004026  0.05457078  1.02149895
  1.25000000  1.00000000  0.32800501  0.92120084  1.05360451  0.07907504  1.05656771


  1.25000000  2.00000000  0.27474392  1.95122230  1.01854234  0.07339310  1.02118316
  0.62500000  2.00000000  0.28764563  1.98723679  1.00584677  0.03907157  1.00660534
  0.62500000  1.50000000  0.31551532  1.48265543  1.01127649  0.04326876  1.01220172
  1.25000000  1.50000000  0.30261361  1.43973416  1.02746600  0.07560951  1.03024423
  1.25000000  2.00000000  0.27474392  1.95122230  1.01854234  0.07339310  1.02118316


  0.00000000  2.00000000  0.29371544  1.99999994  1.00000000  0.00000000  1.00000000
  0.00000000  1.50000000  0.32857096  1.49999994  1.00000000  0.00000000  1.00000000
  0.62500000  1.50000000  0.31980644  1.48265543  1.01127649  0.04326876  1.01220172
  0.62500000  2.00000000  0.28495093  1.98723679  1.00584677  0.03907157  1.00660534
  0.00000000  2.00000000  0.29371544  1.99999994  1.00000000  0.00000000  1.00000000


  2.50000000  1.00000000  0.31389435  0.76094505  1.08100660  0.10398578  1.08599646
  2.50000000  1.50000000  0.28602282  1.29088748  1.04977269  0.14755422  1.06009195
